Company,Exchange:Ticker,Industry ,Country,Broad Group,Sub Group,Bottom up Beta for sector,Bottom up levered beta,ERP for Country,Cost of equity in US$,Total Default Spread for cost of debt (Company + Country),Pre-tax cost of debt in US $,After-tax cost of debt in US $,Cost of capital in US$,ROE - Cost of Equity,ROIC - Cost of Capital,Marketcapital,PV of lease debt,Total Debt,Total Debt incl leases (in US $),Firm Value (in US $),Cash,Enterprise Value (in US $),Cash/ Firm Value,Liquidity Ratio (Daily trading volume/Shrs outs),Book Debt to capital ratio,MDC,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,HiL0 Risk Measure (Hi- lo)/ (Hi+Lo),Interest coverage ratio,Current PE,Trailing PE,Forward PE,PEG,PBV,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Payout ratio,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,roe,Return on Capital (ROC or ROIC),npm,Pre-tax Operating Margin,Effective Tax Rate,% held by institutions,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income,Dividends + Buybacks,CRP,Country Marginal tax rate
Daimler AG (XTRA:DAI),XTRA:DAI,Auto & Truck,Germany,Developed Europe,EU & Environs,0.8501,1.7646,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,"$92,931.60 ","$2,329.63 ","$103,302.40 ","$105,632.03 ","$198,563.63 ","$13,347.80 ","$185,215.83 ",6.72%,0,65.13%,53.20%,186.76%,113.67%,$86.88 ,2.47,62.61%,50.31%,0.25,11.82,11.56,9.35,12.72,2.01,1.64,0.62,20.38,9.66,1.25,1.23,31.99%,3.42%,33.30%,9.79%,7.68%,2.76%,5.74%,4.62%,18.78%,6.59%,6.34%,5.80%,5.37%,32.36%,"$8,036.10 ","$9,937.10 ","$8,859.70 ","$9,089.97 ","$150,698.10 ","$156,625.80 ","$19,181.20 ","$18,474.70 ","$8,602.18 ",$0.89 ,($813.40),"$8,432.00 ",88.57%,$983.58 ,"$8,789.30 ","$2,318.50 ","$52,901.80 ","$137,916.93 ","$56,559.50 ","$147,893.63 ","($3,179.30)",1.26,1.18,0.5,0.05,0.08,"$7,237.82 ","$3,909.86 ","($3,211.80)",0.00%,21%
Fiat S.p.A. (BIT:F),BIT:F,Auto & Truck,Italy,Developed Europe,EU & Environs,0.8501,3.3095,#REF!,#REF!,3.90%,#REF!,#REF!,#REF!,#REF!,#REF!,"$9,986.60 ",$721.02 ,"$39,403.10 ","$40,124.12 ","$50,110.72 ","$22,583.70 ","$27,527.02 ",45.07%,0.01,76.26%,80.07%,321.22%,401.78%,$8.21 ,2.71,45.39%,74.36%,0.27,1.9,21.77,20.78,14.53,1.32,0.8,0.09,5.42,2.83,1.68,0.25,0.00%,0.00%,NA,-29.40%,55.20%,6.33%,16.50%,4.05%,4.13%,41.74%,0.42%,4.43%,28.00%,18.84%,$458.80 ,$480.50 ,"$4,976.70 ","$5,075.10 ","$110,695.50 ","$114,488.70 ","$9,735.60 ","$9,855.90 ","$3,654.23 ","($4,239.00)",$0.00 ,"$11,547.80 ",316.01%,"($7,893.57)","($6,828.30)","($11,067.30)","$11,647.10 ","$12,158.82 ","$12,491.00 ","$16,422.42 ",$0.00 ,1.35,1.37,0.5,0.08,0.11,"$2,223.39 ",$516.74 ,($21.70),2.85%,21%
Bayerische Motoren Werke Aktiengesellschaft (DB:BMW),DB:BMW,Auto & Truck,Germany,Developed Europe,EU & Environs,0.8501,1.5723,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,"$75,521.80 ","$1,903.35 ","$93,629.30 ","$95,532.65 ","$171,054.45 ","$9,179.10 ","$161,875.35 ",5.37%,0,67.55%,55.85%,208.20%,126.50%,$117.75 ,2.29,67.60%,46.60%,0.15,28.91,11.24,10.71,10.61,3.25,1.65,0.75,15.25,11.57,1.22,1.6,31.72%,2.96%,33.60%,18.00%,9.50%,6.39%,3.46%,2.57%,19.10%,8.84%,6.82%,10.27%,32.85%,24.76%,"$6,719.00 ","$7,052.90 ","$10,603.20 ","$10,612.83 ","$101,322.40 ","$103,382.30 ","$13,990.40 ","$14,130.30 ","$7,126.86 ","($4,547.60)","($2,375.30)","$9,789.50 ",104.03%,($287.34),"$4,186.30 ",($361.30),"$36,921.60 ","$120,107.85 ","$45,884.80 ","$132,193.65 ","($2,237.30)",1.26,0.91,0.5,0.06,0.06,"$5,366.77 ","$3,462.33 ","($2,237.30)",0.00%,21%
Peugeot S.A. (ENXTPA:UG),ENXTPA:UG,Auto & Truck,France,Developed Europe,EU & Environs,0.8501,9.4331,#REF!,#REF!,4.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$4,445.90 ","$1,004.46 ","$43,881.70 ","$44,886.16 ","$49,332.06 ","$13,028.30 ","$36,303.76 ",26.41%,0.01,78.32%,90.99%,361.22%,1009.61%,$13.00 ,3.56,50.00%,104.50%,0.43,NA,NA,NA,NA,NA,0.36,0.06,NA,20.01,0.86,0.5,NA,0.00%,NA,NA,0.64%,-1.27%,51.20%,0.41%,-33.62%,-1.99%,-8.50%,-1.40%,0.00%,15.51%,"($6,605.60)","($6,003.20)",($786.50),($987.39),"$73,104.40 ","$70,649.30 ","$1,814.20 ","$1,931.80 ",($987.39),"($1,290.80)",($496.60),"$4,228.80 ",NA,"($4,719.59)","($8,444.60)","($9,735.40)","$17,856.40 ","$49,515.66 ","$12,426.40 ","$42,348.56 ",$0.00 ,2.09,1.15,0.5,0.08,0.15,"$1,481.53 ",$38.54 ,$0.00 ,0.60%,21%
Audi AG (DB:NSU),DB:NSU,Auto & Truck,Germany,Developed Europe,EU & Environs,0.8501,0.8881,#REF!,#REF!,1.00%,#REF!,#REF!,#REF!,#REF!,#REF!,"$37,870.90 ",$421.17 ,"$1,851.20 ","$2,272.37 ","$40,143.27 ","$12,951.60 ","$27,191.67 ",32.26%,NA,9.01%,5.66%,9.90%,6.00%,$880.72 ,0.62,11.40%,26.53%,0.13,NA,6.7,6.95,NA,NA,1.65,0.59,3.77,2.86,2.21,0.42,90.39%,13.01%,37.70%,17.20%,14.20%,7.81%,NA,NA,26.93%,64.29%,8.56%,11.33%,25.65%,0.14%,"$5,648.40 ","$5,450.80 ","$7,149.80 ","$7,217.17 ","$64,303.50 ","$63,676.30 ","$9,507.50 ","$9,089.40 ","$5,366.11 ",($29.90),"$1,132.30 ","$4,093.60 ",97.39%,$140.21 ,$254.80 ,$224.90 ,"$20,243.40 ","$11,226.77 ","$22,958.70 ","$12,279.47 ","($4,926.90)",0.12,0.69,0.5,0.06,0.07,"$3,646.47 ","$2,708.34 ","($4,926.90)",0.00%,21%
Renault Soci¨¦t¨¦ Anonym (ENXTPA:RNO),ENXTPA:RNO,Auto & Truck,France,Developed Europe,EU & Environs,0.8501,1.9334,#REF!,#REF!,2.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$21,913.40 ",$405.23 ,"$42,923.60 ","$43,328.83 ","$65,242.23 ","$13,410.50 ","$51,831.73 ",20.55%,0,58.69%,66.41%,142.04%,197.73%,$80.49 ,3.25,56.12%,69.04%,0.28,1.83,9.38,15.83,8.64,0.28,0.72,0.4,39.08,14.46,0.86,0.95,47.14%,2.98%,40.10%,-18.40%,2.93%,-0.14%,33.30%,1.71%,4.43%,2.13%,2.61%,2.50%,35.55%,33.23%,"$2,336.30 ","$1,384.50 ","$1,079.00 ","$1,326.25 ","$54,413.60 ","$53,007.50 ","$3,584.90 ","$3,537.20 ",$854.73 ,($413.30),"($1,302.60)","$2,419.20 ",130.64%,($261.87),$681.20 ,$267.90 ,"$31,277.20 ","$62,304.23 ","$30,503.70 ","$60,422.03 ",($652.60),1.55,1.77,0.5,0.06,0.08,"$1,334.45 ","$2,462.95 ",($652.60),0.60%,21%
Continental AG (DB:CON),DB:CON,Auto Parts,Germany,Developed Europe,EU & Environs,1.1136,1.364,#REF!,#REF!,1.50%,#REF!,#REF!,#REF!,#REF!,#REF!,"$43,959.20 ",$719.38 ,"$11,040.50 ","$11,759.88 ","$55,719.08 ","$2,987.10 ","$52,731.98 ",5.36%,0,48.92%,21.11%,95.76%,26.75%,$219.79 ,2.61,55.86%,50.58%,0.33,4.78,17.7,16.18,12.93,1.45,3.58,1.02,11.81,8.55,3.92,1.22,22.42%,1.39%,112.40%,29.10%,9.95%,6.73%,12.20%,4.30%,25.12%,32.89%,6.08%,9.99%,15.93%,29.11%,"$2,483.40 ","$2,716.50 ","$4,419.70 ","$4,464.62 ","$43,162.00 ","$44,690.50 ","$6,166.70 ","$6,691.10 ","$3,753.55 ",$804.20 ,($398.20),"$3,134.10 ",72.89%,"$1,017.65 ",($823.60),($19.40),"$10,815.60 ","$13,573.88 ","$12,280.80 ","$13,464.78 ",($609.10),1.13,1.66,0.5,0.04,0.11,"$2,393.49 ",$618.88 ,($609.10),0.00%,21%
Christian Dior SA (ENXTPA:CDI),ENXTPA:CDI,Apparel,France,Developed Europe,EU & Environs,0.8237,1.0086,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$33,815.10 ",$0.00 ,"$11,253.00 ","$11,253.00 ","$45,068.10 ","$2,535.10 ","$42,533.00 ",5.63%,0,23.47%,24.97%,30.66%,33.28%,$189.15 ,1.99,60.58%,42.51%,0.11,31.58,18.51,18.51,13.41,0.49,0.92,0.87,5.13,4.7,1.27,1.1,28.09%,1.52%,NA,NA,NA,NA,37.80%,8.98%,14.60%,75.39%,4.71%,21.33%,32.53%,11.23%,"$1,826.90 ","$1,826.90 ","$7,705.80 ","$8,283.00 ","$38,827.40 ","$38,827.40 ","$9,050.80 ","$9,050.80 ","$5,588.16 ",($206.70),"$1,137.90 ","$2,915.80 ",72.54%,"$1,534.46 ","($2,020.10)","($2,226.80)","$12,514.50 ","$10,986.70 ","$36,698.50 ","$33,566.80 ",($513.10),1.03,0.93,0.5,0.03,0.04,"$4,521.01 ","$1,072.78 ",($657.40),0.60%,21%
LVMH Moet Hennessy Louis Vuitton SA (ENXTPA:MC),ENXTPA:MC,Apparel,France,Developed Europe,EU & Environs,0.8237,0.9196,#REF!,#REF!,1.40%,#REF!,#REF!,#REF!,#REF!,#REF!,"$91,485.50 ","$6,672.72 ","$9,298.70 ","$15,971.42 ","$107,456.92 ","$2,454.30 ","$105,002.62 ",2.28%,0,31.67%,14.86%,46.36%,17.46%,$182.61 ,1.83,61.40%,39.82%,0.12,45.59,20.26,21.2,17.56,2.29,2.66,2.47,11.68,11.48,2.79,2.83,43.68%,2.06%,16.20%,9.78%,16.30%,11.30%,8.85%,7.36%,14.40%,25.80%,11.51%,23.99%,33.32%,19.59%,"$4,514.50 ","$4,315.90 ","$7,764.70 ","$8,993.26 ","$37,053.20 ","$37,480.70 ","$9,150.20 ","$9,166.10 ","$5,997.11 ","$1,153.10 ","$1,262.30 ","$2,632.50 ",64.94%,"$2,102.31 ",($732.00),$421.10 ,"$29,971.50 ","$34,860.62 ","$34,453.00 ","$37,627.62 ","($1,885.00)",0.98,0.79,0.5,0.04,0.04,"$4,825.94 ","$2,757.84 ","($2,072.20)",0.60%,21%
Antevenio S.A. (ENXTPA:ALANT),ENXTPA:ALANT,Advertising,Spain,Developed Europe,EU & Environs,0.8911,0.9098,#REF!,#REF!,3.20%,#REF!,#REF!,#REF!,#REF!,#REF!,$20.00 ,$0.00 ,$0.42 ,$0.42 ,$20.42 ,$5.90 ,$14.52 ,28.89%,0,1.96%,2.06%,2.00%,2.10%,$4.75 ,0.2,7.07%,41.72%,0.24,NA,53.48,NA,NA,0.82,0.95,0.62,28.75,15.6,2.73,0.45,NA,0.00%,NA,NA,10.70%,5.20%,64.90%,0.46%,-1.66%,8.36%,-1.14%,1.64%,0.00%,2.65%,$0.37 ,($0.35),($0.02),$0.51 ,$32.40 ,$30.80 ,$0.93 ,($0.68),$0.51 ,$0.01 ,($1.06),$0.48 ,-114.85%,$1.09 ,$0.22 ,$0.23 ,$21.20 ,$6.04 ,$21.00 ,$5.32 ,$0.00 ,0.12,0.06,0.5,NA,NA,NA,NA,($0.12),3.30%,21%
