Country Code,Export Partner,value
ABW,COL,40.8
ABW,Venezuela,20.5
ABW,Netherlands Antilles,15.6
ABW,US,8.9
ABW,NLD,4.5
ARE,JPN,16.2
ARE,IND,13.5
ARE,Iran,10.9
ARE,South Korea,5.6
ARE,THA,5.5
ARE,SGP,4.4
AFG,PAK,48
AFG,IND,19
AFG,Russia,9
AFG,Iran,5
DZA,US,20.6
DZA,ITA,14.2
DZA,ESP,9.8
DZA,FRA,8.9
DZA,NLD,6.7
DZA,CAN,6.1
DZA,BRA,4.4
AZE,ITA,32.6
AZE,FRA,13.3
AZE,US,7.6
AZE,DEU,6.3
AZE,IDN,5.4
AZE,CZE,5.3
ALB,ITA,45.3
ALB,CHN,7.8
ALB,TUR,6.3
ALB,GRC,5.2
ALB,ESP,5.1
ALB,IND,4.6
ARM,Russia,16.7
ARM,DEU,11.8
ARM,BGR,11.4
ARM,NLD,8.8
ARM,Iran,8
ARM,US,7.5
ARM,ESP,6.2
ARM,BEL,5.3
ARM,CAN,5.3
ARM,GEO,4.6
AGO,CHN,38.1
AGO,US,21.2
AGO,IND,9.2
AGO,CAN,4.2
ARG,BRA,21.6
ARG,CHN,7.3
ARG,CHL,5.5
ARG,US,5.5
AUS,CHN,27.4
AUS,JPN,19.2
AUS,South Korea,8.9
AUS,IND,5.8
AUT,DEU,32.3
AUT,ITA,7.8
AUT,CHE,4.4
AUT,FRA,4.2
BHR,SAU,3.3
BHR,UAE,2.2
BHR,JPN,2
BHR,QAT,1.9
BRB,TTO,18.9
BRB,FRA,10.7
BRB,US,9.7
BRB,St. Lucia,8.8
BRB,St. Vincent and the Grenadines,5.4
BRB,Venezuela,4.9
BRB,ATG,4.5
BRB,St. Kitts and Nevis,4.2
BMU,DEU,14
BMU,US,11.7
BMU,AUS,8
BEL,DEU,18.7
BEL,FRA,16.9
BEL,NLD,12.5
BEL,UK,7.2
BEL,ITA,4.6
BEL,US,4.5
bf,SGP,28.2
bf,US,26.9
bf,DOM,11.7
bf,ECU,8.6
bf,CHE,5.1
BGD,US,19.4
BGD,DEU,16.5
BGD,UK,10
BGD,FRA,7.3
BGD,ITA,4.4
BGD,ESP,4.2
BGD,NLD,4.2
BLZ,US,38.1
BLZ,UK,16.5
BLZ,CRI,10
BLZ,NGA,4.4
BIH,SVN,18.1
BIH,HRV,16.4
BIH,ITA,14.7
BIH,DEU,13.8
BIH,AUT,12.2
bl,BRA,41.8
bl,US,12.2
bl,South Korea,6.4
bl,PER,5.7
bl,ARG,5.2
bl,JPN,4.7
bm,THA,36.7
bm,CHN,18.8
bm,IND,14.1
bm,JPN,6.6
BEN,IND,32.4
BEN,CHN,20
BEN,IDN,6.8
BEN,NER,4.8
BEN,SGP,4.4
BEN,NGA,4.2
BLR,Russia,33.5
BLR,NLD,15.1
BLR,UKR,10.2
BLR,LVA,7.7
BLR,DEU,4.5
SLB,CHN,52.4
SLB,AUS,12.1
SLB,THA,4.5
BRA,CHN,17.3
BRA,US,10.1
BRA,ARG,8.9
BRA,NLD,5.3
BGR,DEU,12.2
BGR,ROU,9.7
BGR,ITA,8.7
BGR,TUR,8.1
BGR,GRC,7.2
BGR,BEL,5.2
BGR,FRA,4.3
bx,JPN,45.2
bx,South Korea,15.9
bx,AUS,11.4
bx,IDN,8.1
bx,IND,5.7
bx,CHN,4.4
BDI,DEU,15.6
BDI,CHN,10.5
BDI,SWE,9.5
BDI,BEL,9
BDI,PAK,7.4
BDI,US,7.4
BDI,FRA,4.3
CAN,US,73.7
CAN,UK,4.2
KHM,US,39.5
KHM,CAN,8.2
KHM,DEU,7.8
KHM,UK,7.5
KHM,Vietnam,6
KHM,JPN,4.3
TCD,US,83.2
TCD,CHN,6.8
TCD,FRA,5.6
LKA,US,19.8
LKA,UK,9.2
LKA,IND,6.5
LKA,ITA,5
LKA,DEU,5
LKA,BEL,4.4
cf,CHN,38.5
cf,US,20.3
cf,AUS,6.4
cf,FRA,6.1
cf,ESP,4.9
cf,ITA,4.4
cf,NLD,4.4
cg,CHN,48.1
cg,ZMB,21.3
cg,US,9.5
cg,BEL,5.4
CHN,US,17.1
CHN,HKG,14.1
CHN,JPN,7.8
CHN,South Korea,4.4
CHN,DEU,4
CHL,CHN,22.8
CHL,US,11.1
CHL,JPN,11.1
CHL,BRA,5.5
CHL,South Korea,5.5
CHL,NLD,4.7
CMR,ESP,13.4
CMR,CHN,11.4
CMR,NLD,9.8
CMR,ITA,8.9
CMR,FRA,6.4
CMR,US,5.9
CMR,IND,5.7
CMR,DEU,4.8
CMR,BEL,4.1
COM,SGP,34.9
COM,TUR,23
COM,FRA,10.2
COM,NLD,7.6
COM,IND,4.3
COL,US,42
COL,NLD,4.7
COL,CHN,4.2
CRI,US,30.4
CRI,CHN,11.3
CRI,NLD,10.9
CRI,UK,9.6
CRI,MEX,8.5
CAF,BEL,30.4
CAF,CHN,17.1
CAF,Democratic Republic of the Congo,7.9
CAF,FRA,7.1
CAF,IDN,6.3
CAF,MAR,5.3
CUB,CHN,24.8
CUB,CAN,21.5
CUB,Venezuela,7.1
CUB,NLD,7.1
CUB,ESP,6.5
CPV,ESP,64.4
CPV,PRT,18.5
CYP,GRC,27.4
CYP,UK,10.2
CYP,DEU,5.5
DNK,DEU,16.9
DNK,SWE,13.2
DNK,UK,9.9
DNK,NOR,5.7
DNK,US,5.5
DNK,NLD,4.9
DNK,FRA,4.3
DJI,SOM,74.5
DJI,SDN,6.7
DJI,EGY,5.1
DMA,JPN,46.2
DMA,ATG,8.3
DMA,JAM,7.3
DMA,GUY,7
DMA,TTO,4.5
DOM,US,48.8
DOM,HTI,16.7
ECU,US,37.8
ECU,PAN,9.9
ECU,PER,6.2
ECU,Venezuela,5.2
ECU,CHL,4.9
ECU,Russia,4.6
EGY,ITA,8.7
EGY,IND,7.3
EGY,SAU,6.1
EGY,US,5.2
EGY,TUR,4.9
EGY,ESP,4.2
EGY,FRA,4.2
IRL,US,22.3
IRL,UK,16.1
IRL,BEL,15.5
IRL,DEU,7
IRL,FRA,5.7
IRL,CHE,4.2
GNQ,ESP,14.8
GNQ,CHN,13.1
