"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","1087875.796","12264016.6348","1300000","130502793.296089","184748603.351955","-36983240.2234637","-17932960.8938547","-73184357.5418994","-5530726.25698324","84469273.7430168","195921787.709497","83575418.9944134","463016759.776537","-127988826.815642","-267932960.893855","261284916.201117","154525139.664805","133910614.52514","-207798005.868163","220316139.723839","-470976976.90032","14752121.875589","-31718538.1714583","158357713.74276","467999946.677426","-139951959.81066","",
"Andorra","AND","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","230000","450000","150000","270000","","","40000","-240000","","1200000","9000000","180000","100000","","","","","400000","","","","-280000","360000","-20000","20000","-93326.6667","690000","-1460000","-10000","6040000","170000","680000","50000000","57800000","186900000","271000000","238000000","188690000","87276201","213670260","75649209","91227567","94013759","",
"Angola","AGO","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","2400000","1860000","2160000","7540000","6690000","50000","-1170000","","1870000","2000000","37420000","49050000","115810000","104330000","67140000","278000000","234000000","119000000","131000000","200000000","-334800000","664500000","287956000","302100000","170300000","472427000","180559000","411660000","1113970000","2471460000","878620000","2145470000","1672093000","3504701780","1449231820","-1303836930","-37714860","-893342152","1678971010","2205298180","-3227211182","-3023770965.83688","-6897954558.89544","",
"Albania","ALB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000000","58000000","53000000","70000000","90100000","47500000","45010000","41200000","143000000","207300000","135000000","178036400.666667","341285112.537562","262479012.637464","325138316.8","652275603.7","1240972849","1343091149.96017","1089416366","1368298748.1102","1265256715.45608","",
"Arab World","ARB","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","155910000","-48157265.378197","108207643.802819","-553260283.610252","-3439882606.66216","1993064060.69274","75228235.3214913","916354342.764177","633679217.962612","-137880541.760675","-3199743186.23158","7105627475.63001","11798713438.7079","5638970585.79482","6246719369.37016","2016875674.73326","2323239876.12081","28047556.8856191","1632039427.10903","1313650828.2652","2778949076.94373","2111305591.05692","3466824028.79316","4324148897.17106","3368155276.06928","13271440.60846","3299808634.01077","6094422313.90399","8217677454.18277","1180110166.38425","2639553572.57013","4760318907.4553","5757709604.00752","13597672433.1443","21281357372.0773","47811298323.8544","71810551309.0675","84734811122.9438","102500100717.336","83692493213.654","69490473647.1577","41492750350.0576","48012962998.1261","",
"United Arab Emirates","ARE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","7780000","6940000","10510000","3410000","1630000","15950000","49430000","112240000","39120000","64580000","97640000","-16940000","95060000","45540000","170240000","-220960000","110210000","46720000","188890000","38790000","-115820000","25940000","129720000","401320000","62460000","399850000","300520000","232430000","257660000","-985340000","-506330000","1183840000","95300000","4255956432.9476","10003500000","10899931926.4806","12805990469.7073","14186521443.1586","13723600000","4002700000","5500000000","7679000000","9602000000","",
"Argentina","ARG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","89770000","125670000","71720000","100250000","17920000","55590000","244680000","144000000","250000000","206000000","678000000","837000000","227000000","185000000","268000000","919000000","574000000","-19000000","1147000000","1028000000","1836000000","2439000000","4430977523.08014","2793085410.09827","3634931878.26435","5609423403.56467","6948536686.64725","9160272052.4446","7290657132.08156","23987696389.6428","10418314339.1428","2166136829.76399","2148910000","1652010000","4124710000","5265250000","5537340000","6473150000","9725560000","4017158924.88408","7845718626.43446","10719930944.6815","12128102278.0133","",
"Armenia","ARM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2400000","800000","8000000","25320000","17570000","51940000","220830000","122040000","104190000","69868500","110738700","120872200","247855451.612903","239384713.047712","453172318.4","698820000","935434359.8","777498557.93237","570060000","663453322.239922","489406794.407051","",
"American Samoa","ASM","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","2200000","-6900000","8500000","19600000","22400000","23000000","5000000","4400000","15600000","22600000","38596296.2962963","32951851.8518518","43107407.4074074","60607407.4074074","54792592.5925926","19648148.1481481","15240740.7407407","24788888.8888888","31485185.1851852","19351851.8518518","22944444.4444444","22774074.0740741","51792533.3333333","43115925.9259259","98452222.2222222","65865064.8148148","166321143.703703","80366585.1851851","220963374.074074","358820163.7","338204733.3","158783774.444444","80646652.5925926","96679207.7777778","65160596.2962963","70860057.4074074","",
"Australia","AUS","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","898240143.826212","1148861271.73704","1053514496.5858","147281665.115248","1332156860.88691","455089249.229378","1042693510.80557","1139121335.16465","1677595756.64229","1488339328.58755","1869828587.80032","2346769422.21822","2363109706.30382","2985134040.84802","374592490.887923","2062591080.83206","5336006347.9724","5263503872.86982","7376945450.599","7259411409.81321","8110892263.75746","4312358476.32102","5699133705.10764","4318356055.64033","5000720814.41679","12026426011.7474","6181381324.81178","7631273089.6073","5956935412.56439","3311038586.09037","13618008434.2312","8260884019.24752","16991776868.316","8023802769.94237","36826801136.0483","-24476656433.6931","31246118092","45305020875","45264063368.4614","29002397767.8115","37098104595.9189","66271163219.3113","56595431544.2428","",
"Austria","AUT","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","112653846.045525","142730445.53002","145403026.766641","160757773.251651","177044820.1327","79114404.478886","91232469.7318557","96814163.8636379","142389695.807051","187429359.737233","239303891.692981","327520086.763852","207917636.286849","216121460.703876","115236829.380443","173105865.816739","186540951.319351","409526123.844839","435699356.970644","587351065.575861","653220243.884956","360071602.901055","1442437728.72659","1129076308.08215","2116581764.51514","1900496647.92004","4414662673.39958","2623778926.45191","4643266783.40322","3008319638.96604","8525406379.1313","5905880644.78423","318132393.328332","7098252089.87043","3892054627.31739","81287916302.2176","4830703493","68110676603","5121819353.67709","14642970581.9643","-25304172425.6518","23675873460.8137","4143622141.40523","",
"Azerbaijan","AZE","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330050000","627277000","1114838000","1022967000","510317000","129937000","226513000","1392435000","3284998000","3556099000","4476396000","4485966000","4594234000","3986807000","2900030000","3352997000","4485120000","5293250000","",
"Burundi","BDI","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","538566.543006106","1524028.63247119","1367714.12346925","1196623.81138929","567226.890756303","1255434.74294","892500.106741911","600088.333002618","473679.874783755","3957.84890911789","1981922.46479085","100","100","2000000","238660.308306532","11683518.1913211","9634.45280322433","10.744","4618.42567105725","44509.0380597693","584701.692574563","31593.77819","500245.0931","3833208.348","348404.534569828","780582.0036","3354999.1805922","604919.651526489","",
"Belgium","BEL","Foreign direct investment, net inflows (BoP, current US$)","BX.KLT.DINV.CD.WD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18080576795.9181","34543942055.3342","44415185590.2333","33683830158.1205","58827696333","96587921127","184841561731.941","65834501655.687","78185288728.2772","117161100157.183","-1917113506.65421","",
