"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4416215839.35408","4717024446.35534","5206554198.00611","5456622283.83526","1951895891.92541","264489902.749574","5179815559.22659","1388622393.63307","",
"Andorra","AND","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563187587.539999","406220602.826667","453400791.35","430713373.819999","619880622.803666","",
"Angola","AGO","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24109411611","31862236056","44396193769","63913941114","40827945315.8099","50594853215.3799","67310283732.3282","71091223280.4953","",
"Albania","ALB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194117835.566333","223619399.423828","359838411.991625","546110870.017145","403649370.079361","736926296.176561","962077699.937782","1122766558.04969","",
"Arab World","ARB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","558372127401.407","668029703825.023","765089043985.442","1040609429333.6","660722797493.953","839724347046.804","1098756179818.29","1234808216967.47","",
"United Arab Emirates","ARE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40434150000","46593800000","56032420000","70148570000","55790821963","68154138894.2147","83996798772.2982","80896987950.356","",
"Armenia","ARM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1003564200","1024116147","1194770000","1110279000","747512052.862445","1173900000","1455852352.26359","1537785141.31277","",
"American Samoa","ASM","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82670221.4814815","73995931.1111111","59283601.8518517","65385681.111111","50741039.6296295","45715381.111111","56151357.037037","56671695.9259259","",
