"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Aruba","ABW","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4296239004.22803","4724341245.60902","5126119102.00792","6018000415.16444","2452608804.15883","1394193933.20148","5916475005.47914","2039036901.44808","",
"Andorra","AND","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3042137962.13716","3465234128.46999","5400323726.72","6709897898.991","9392226403.69636","",
"Angola","AGO","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8353237654.472","8777632624.25399","13661464164.4699","20982185983.4809","22659935299.34","16666858026.86","20228447301.57","23716929467.06","",
"Albania","ALB","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2117458690.17944","2499761211.87343","3419700000","4358658627.19456","3795811608.38165","3775073558.82162","4460736370.32203","3983771738.04346","",
"Arab World","ARB","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","323346733751.552","363171079112.411","456509448749.8","595857143678.277","523207531068.853","574118130506.439","638677437540.029","736866248822.264","",
"United Arab Emirates","ARE","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27300100000","32587900000","42524500000","54596200000","37146134000","53867737000","71125807000","65554562635.04","",
"Armenia","ARM","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1591854185.30999","1920462817.20799","2796040000","3774767145.22499","2829430729.21158","3207670000","3561273718.67545","3648918434.52973","",
"American Samoa","ASM","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","455354766.666666","559702264.444443","648910962.962962","669885794.074074","478906695.555556","453883552.962962","430444175.185185","402688274.074073","",
"Australia","AUS","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","120331040282.966","134034938695.554","160641042988.928","193732534020.659","159216216901.457","196302798031.681","242914559128.383","262966044283.277","",
"Austria","AUT","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113143964347.149","126219647529.508","151507661746.88","170238238798.276","132387636690.22","145504712128.13","175432546079.45","163420461475.929","",
"Azerbaijan","AZE","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4151643000","4953862000","5876763000","7305041000","6113466000","6306941000","9867911000","9963489000","",
"Burundi","BDI","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188911994.721289","244704991.40954","254120717.538455","335469828.067884","343026862.618249","438394337.320519","552470250.210139","711045615.506698","",
"Belgium","BEL","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","224172482974.968","244013604439.278","285411750717.864","334992794534.12","251526875353.519","275832535346.922","336128533505.211","311053827559.046","",
"Benin","BEN","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","863363420.486492","1041964630.7816","1601592323.70723","1889709844.83043","1737771756.7534","1775176238.156","","","",
"Burkina Faso","BFA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1034445411.3611","1089833197.31201","1254445377.48709","1746006752.46851","1381026964.92409","1723395115.90935","","","",
"Bangladesh","BGD","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12343724235.1304","14245655500.0991","16469841979.5645","21411065855.3559","19677718237.4464","25081635495.4849","32607377241.185","32289687006.311","",
"Bulgaria","BGR","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17204395497.8046","22129515499.7671","30040951021.3292","35108727414.9192","22153280166.8051","24255226046.6959","31221519919.4058","31133298692.7685","",
"Bahrain","BHR","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8870744680.85106","9953803191.48936","10925398936.1702","14246276595.7446","9613031914.89361","11190425531.9149","12105851063.8298","13239361702.1277","",
"Bahamas, The","BHS","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2377432028.18499","2766500000","2956922389.37099","3199041000","2535793000","2591499000","2965500000","3385465000","",
"Bosnia and Herzegovina","BIH","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7454235178.58049","7679400862.86277","8255013335.36462","10581964462.9438","7846610530.26263","8056801022.59477","9590634169.27025","8848972653.22682","",
"Belarus","BLR","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16053700000","21350300000","27584400000","38121500000","27700300000","33794800000","44394400000","45008900000","",
"Belize","BLZ","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","544213649.434299","597872245.112849","634717661.046885","788239253.844506","620512128.6433","647223347.839414","778175075.051306","837006520.300076","",
"Bermuda","BMU","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1094330000","1165781450.07488","1159195102.66214","1064348742.8239","988034768.179999","910226798.83","900357454.399999","",
"Bolivia","BOL","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2182590109.28","2632100969.94311","3243473509.09","4764087001","4143570000","5006774120.3598","7126366595.22006","7694031346.64404","",
"Brazil","BRA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73139777858","91349560988","120617446250","173106690502","127723322400","181768427438","226233045240","223149130318","",
"Barbados","BRB","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1515550209.00321","1602440249.69808","1699607696.04643","1811005524.675","1366058118.61212","1506623046.84447","","","",
"Brunei Darussalam","BRN","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1411802451.62396","1588325381.78274","1991788914.5572","2857682730.08315","2282430794.56057","","","","",
"Bhutan","BTN","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","434879698.346336","526628507.290516","671168127.936892","606568117.136855","843251940.363311","1184678670.94122","1071723509.87177","",
"Botswana","BWA","Goods imports (BoP, current US$)","BM.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2854120088.23833","2780227564.7204","4007384050.09466","5150482642.57293","4646372848.22745","5575852443.68297","7191510612.70627","7918230330.99135","",
