Country Code,Import Partner,value
ABW,USA,50.6
ABW,NLD,11.6
ABW,GBR,4.7
ARE,IND,19.8
ARE,CHN,13.7
ARE,USA,8.1
ARE,DEU,4.6
AFG,PAK,13.7
AFG,RUS,12.6
AFG,UZB,11.5
AFG,IRN,9.1
DZA,FRA,15.1
DZA,CHN,10
DZA,ITA,9.9
DZA,ESP,7.3
DZA,DEU,5.4
DZA,USA,4.6
AZE,TUR,18.1
AZE,RUS,15.4
AZE,CHN,7.8
AZE,DEU,7.2
AZE,GBR,6.1
AZE,UKR,4.6
AZE,ITA,4.2
ALB,ITA,33
ALB,GRC,12.2
ALB,CHN,5.9
ALB,TUR,5.6
ALB,DEU,4.3
ARM,RUS,20.1
ARM,CHN,8.2
ARM,UKR,6.9
ARM,IRN,6.5
ARM,DEU,5.9
ARM,ITA,4.7
ARM,TUR,4
AGO,PRT,20.5
AGO,CHN,17.8
AGO,USA,9.6
AGO,BRA,6.9
AGO,ZAF,5.7
AGO,FRA,5.1
ARG,BRA,33.2
ARG,USA,14.4
ARG,CHN,12.4
ARG,DEU,4.7
AUS,CHN,18.5
AUS,USA,11.4
AUS,JPN,7.9
AUS,SGP,6.2
AUS,DEU,4.7
AUT,DEU,42.8
AUT,ITA,6.8
AUT,CHE,5.5
AUT,NLD,4
BHR,SAU,28.2
BHR,USA,10.5
BHR,CHN,7.6
BHR,BRA,6
BHR,IND,5.7
BHR,DEU,4.8
BHR,JPN,4.1
BRB,RUS,26.6
BRB,TTO,24.8
BRB,USA,18.6
BRB,CHN,6.1
BMU,KOR,43.4
BMU,USA,16.1
BMU,CHN,9.6
BMU,NOR,7.5
BMU,SGP,6.6
BEL,NLD,19.9
BEL,DEU,15
BEL,FRA,10.8
BEL,GBR,6
BEL,USA,5.3
BEL,IRL,4.5
BEL,CHN,4.2
BFA,USA,25.8
BFA,IND,18.6
BFA,KOR,14.3
BFA,VEN,9.6
BFA,SGP,7.7
BFA,CHN,4.1
BGD,CHN,18.2
BGD,IND,13.5
BGD,MYS,4.9
BLZ,USA,38.2
BLZ,MEX,10.2
BLZ,CUB,9.2
BLZ,GTM,5.4
BLZ,CHN,5
BLZ,TTO,4.1
BIH,HRV,21.6
BIH,DEU,13
BIH,SVN,12.9
BIH,ITA,9.5
BIH,RUS,7.5
BIH,AUT,6.1
BIH,HUN,4.7
BLM,CHL,23.5
BLM,BRA,23
BLM,ARG,10.3
BLM,USA,10.1
BLM,PER,6.9
BLM,CHN,5.8
BMU,CHN,38.8
BMU,THA,22.6
BMU,SGP,9.7
BMU,KOR,5.4
BMU,MYS,4.5
BMU,JPN,4.1
BEN,CHN,31.1
BEN,FRA,12.2
BEN,GBR,7.6
BEN,USA,6.7
BEN,IND,6.5
BEN,NLD,4.6
BEN,BEL,4.3
BLR,RUS,54.4
BLR,DEU,5.6
BLR,CHN,4.8
BLR,UKR,4.4
SLB,AUS,27
SLB,SGP,26.1
SLB,CHN,6.4
SLB,MYS,5.8
SLB,NZL,5
BRA,USA,15.1
BRA,CHN,14.5
BRA,ARG,7.5
BRA,DEU,6.7
BRA,KOR,4.5
BGR,RUS,17.8
BGR,DEU,11.1
BGR,ITA,7.2
BGR,ROU,7
BGR,GRC,5.7
BGR,ESP,5.1
BGR,TUR,4.6
BDI,SAU,17.1
BDI,BEL,8.3
BDI,CHN,7.6
BDI,UGA,7.5
BDI,KEN,6.6
BDI,ZMB,6.5
BDI,USA,6.3
BDI,FRA,5.1
BDI,IND,4.1
CAN,USA,49.5
CAN,CHN,10.8
CAN,MEX,5.5
KHM,THA,24.6
KHM,CHN,19.9
KHM,SGP,7.8
KHM,HKG,6
TCD,CMR,17
TCD,FRA,15.8
TCD,CHN,10.8
TCD,FIN,6.6
TCD,SWE,6
TCD,SAU,5
TCD,BEL,4.4
TCD,USA,4
LKA,IND,25.6
LKA,CHN,15.9
LKA,SGP,7.1
LKA,IRN,6.2
LKA,JPN,5
CAF,FRA,17.2
