Country Code,Export Partner,value
ABW,COL,40.8
ABW,VEN,20.5
ABW,ANT,15.6
ABW,USA,8.9
ABW,NLD,4.5
ARE,JPN,16.2
ARE,IND,13.5
ARE,IRN,10.9
ARE,KOR,5.6
ARE,THA,5.5
ARE,SGP,4.4
AFG,PAK,48
AFG,IND,19
AFG,RUS,9
AFG,IRN,5
DZA,USA,20.6
DZA,ITA,14.2
DZA,ESP,9.8
DZA,FRA,8.9
DZA,NLD,6.7
DZA,CAN,6.1
DZA,BRA,4.4
AZE,ITA,32.6
AZE,FRA,13.3
AZE,USA,7.6
AZE,DEU,6.3
AZE,IDN,5.4
AZE,CZE,5.3
ALB,ITA,45.3
ALB,CHN,7.8
ALB,TUR,6.3
ALB,GRC,5.2
ALB,ESP,5.1
ALB,IND,4.6
ARM,RUS,16.7
ARM,DEU,11.8
ARM,BGR,11.4
ARM,NLD,8.8
ARM,IRN,8
ARM,USA,7.5
ARM,ESP,6.2
ARM,BEL,5.3
ARM,CAN,5.3
ARM,GEO,4.6
AGO,CHN,38.1
AGO,USA,21.2
AGO,IND,9.2
AGO,CAN,4.2
ARG,BRA,21.6
ARG,CHN,7.3
ARG,CHL,5.5
ARG,USA,5.5
AUS,CHN,27.4
AUS,JPN,19.2
AUS,KOR,8.9
AUS,IND,5.8
AUT,DEU,32.3
AUT,ITA,7.8
AUT,CHE,4.4
AUT,FRA,4.2
BHR,SAU,3.3
BHR,UAE,2.2
BHR,JPN,2
BHR,QAT,1.9
BRB,TTO,18.9
BRB,FRA,10.7
BRB,USA,9.7
BRB,LCA,8.8
BRB,VCT,5.4
BRB,VEN,4.9
BRB,ATG,4.5
BRB,KNA,4.2
BMU,DEU,14
BMU,USA,11.7
BMU,AUS,8
BEL,DEU,18.7
BEL,FRA,16.9
BEL,NLD,12.5
BEL,GBR,7.2
BEL,ITA,4.6
BEL,USA,4.5
BFA,SGP,28.2
BFA,USA,26.9
BFA,DOM,11.7
BFA,ECU,8.6
BFA,CHE,5.1
BGD,USA,19.4
BGD,DEU,16.5
BGD,GBR,10
BGD,FRA,7.3
BGD,ITA,4.4
BGD,ESP,4.2
BGD,NLD,4.2
BLZ,USA,38.1
BLZ,GBR,16.5
BLZ,CRI,10
BLZ,NGA,4.4
BIH,SVN,18.1
BIH,HRV,16.4
BIH,ITA,14.7
BIH,DEU,13.8
BIH,AUT,12.2
BLM,BRA,41.8
BLM,USA,12.2
BLM,KOR,6.4
BLM,PER,5.7
BLM,ARG,5.2
BLM,JPN,4.7
BMU,THA,36.7
BMU,CHN,18.8
BMU,IND,14.1
BMU,JPN,6.6
BEN,IND,32.4
BEN,CHN,20
BEN,IDN,6.8
BEN,NER,4.8
BEN,SGP,4.4
BEN,NGA,4.2
BLR,RUS,33.5
BLR,NLD,15.1
BLR,UKR,10.2
BLR,LVA,7.7
BLR,DEU,4.5
SLB,CHN,52.4
SLB,AUS,12.1
SLB,THA,4.5
BRA,CHN,17.3
BRA,USA,10.1
BRA,ARG,8.9
BRA,NLD,5.3
BGR,DEU,12.2
BGR,ROU,9.7
BGR,ITA,8.7
BGR,TUR,8.1
BGR,GRC,7.2
BGR,BEL,5.2
BGR,FRA,4.3
BDI,DEU,15.6
BDI,CHN,10.5
BDI,SWE,9.5
BDI,BEL,9
BDI,PAK,7.4
BDI,USA,7.4
BDI,FRA,4.3
CAN,USA,73.7
CAN,GBR,4.2
KHM,USA,39.5
KHM,CAN,8.2
KHM,DEU,7.8
KHM,GBR,7.5
KHM,VNM,6
KHM,JPN,4.3
TCD,USA,83.2
TCD,CHN,6.8
TCD,FRA,5.6
LKA,USA,19.8
LKA,GBR,9.2
LKA,IND,6.5
LKA,ITA,5
LKA,DEU,5
LKA,BEL,4.4
CAF,CHN,38.5
CAF,USA,20.3
CAF,AUS,6.4
CAF,FRA,6.1
CAF,ESP,4.9
CAF,ITA,4.4
CAF,NLD,4.4
COG,CHN,48.1
COG,ZMB,21.3
COG,USA,9.5
COG,BEL,5.4
CHN,USA,17.1
CHN,HKG,14.1
CHN,JPN,7.8
CHN,KOR,4.4
CHN,DEU,4
CHL,CHN,22.8
CHL,USA,11.1
CHL,JPN,11.1
CHL,BRA,5.5
CHL,KOR,5.5
CHL,NLD,4.7
CMR,ESP,13.4
CMR,CHN,11.4
CMR,NLD,9.8
CMR,ITA,8.9
CMR,FRA,6.4
CMR,USA,5.9
CMR,IND,5.7
CMR,DEU,4.8
CMR,BEL,4.1
COM,SGP,34.9
COM,TUR,23
COM,FRA,10.2
COM,NLD,7.6
COM,IND,4.3
COL,USA,42
COL,NLD,4.7
COL,CHN,4.2
CRI,USA,30.4
CRI,CHN,11.3
CRI,NLD,10.9
CRI,GBR,9.6
CRI,MEX,8.5
CAF,BEL,30.4
CAF,CHN,17.1
CAF,COD,7.9
CAF,FRA,7.1
CAF,IDN,6.3
CAF,MAR,5.3
CUB,CHN,24.8
CUB,CAN,21.5
CUB,VEN,7.1
CUB,NLD,7.1
CUB,ESP,6.5
CPV,ESP,64.4
CPV,PRT,18.5
CYP,GRC,27.4
CYP,GBR,10.2
CYP,DEU,5.5
DNK,DEU,16.9
DNK,SWE,13.2
DNK,GBR,9.9
DNK,NOR,5.7
DNK,USA,5.5
DNK,NLD,4.9
DNK,FRA,4.3
DJI,SOM,74.5
DJI,SDN,6.7
DJI,EGY,5.1
DMA,JPN,46.2
DMA,ATG,8.3
DMA,JAM,7.3
DMA,GUY,7
DMA,TTO,4.5
DOM,USA,48.8
DOM,HTI,16.7
ECU,USA,37.8
ECU,PAN,9.9
ECU,PER,6.2
ECU,VEN,5.2
ECU,CHL,4.9
ECU,RUS,4.6
EGY,ITA,8.7
EGY,IND,7.3
EGY,SAU,6.1
EGY,USA,5.2
EGY,TUR,4.9
EGY,ESP,4.2
EGY,FRA,4.2
IRL,USA,22.3
IRL,GBR,16.1
IRL,BEL,15.5
IRL,DEU,7
IRL,FRA,5.7
IRL,CHE,4.2
GNQ,ESP,14.8
GNQ,CHN,13.1
GNQ,ITA,10.9
GNQ,JPN,10.5
GNQ,USA,9.5
GNQ,NLD,7.6
GNQ,CAN,5.5
GNQ,BRA,5
GNQ,FRA,4.7
GNQ,KOR,4.1
EST,SWE,17
EST,FIN,16.3
EST,RUS,11.9
EST,LVA,8.6
EST,DEU,4.9
EST,LTU,4.9
SLV,USA,45.1
SLV,GTM,13.3
SLV,HND,8.6
SLV,NIC,5.2
SLV,DEU,4.1
ETH,DEU,14.2
ETH,CHN,12.2
ETH,BEL,7.8
ETH,SAU,6.8
ETH,USA,6.3
ETH,ITA,5.1
CZE,DEU,32.4
CZE,SVK,9
CZE,POL,6.3
CZE,FRA,5.5
CZE,AUT,4.6
CZE,GBR,4.6
CZE,ITA,4.2
FIN,SWE,11.8
FIN,DEU,10
FIN,RUS,9.2
FIN,NLD,6.8
FIN,GBR,5.2
FIN,USA,4.9
FIN,CHN,4.7
FJI,AUS,14.3
FJI,USA,11
FJI,JPN,6.4
FJI,GBR,5.9
FJI,WSM,5.8
FJI,TON,5.1
FRO,DNK,27.2
FRO,GBR,22.7
FRO,USA,12.3
FRO,NGA,12.1
FRO,NLD,7.8
FRO,NOR,4.5
FRA,DEU,16.7
FRA,ITA,8.3
FRA,ESP,7.4
FRA,BEL,7.4
FRA,GBR,6.7
FRA,USA,5
FRA,NLD,4.3
GAB,CHN,37.5
GAB,IND,27.3
GAB,FRA,9.3
GAB,GBR,5.6
GAB,USA,41.7
GAB,AUS,9.3
GAB,MYS,8.5
GAB,JPN,6
GAB,CHN,5.1
GAB,ESP,4.6
GEO,AZE,17.3
GEO,TUR,10.4
GEO,ARM,9.9
GEO,KAZ,7.3
GEO,UKR,6.2
GEO,USA,5.5
GEO,CAN,5.1
GEO,BGR,4.7
GHA,FRA,19.1
GHA,NLD,10.2
GHA,USA,8.6
GHA,ITA,8.1
GHA,GBR,4.7
GHA,IND,4.2
GRD,LCA,19.8
GRD,ATG,13.5
GRD,KNA,12.1
GRD,DMA,12.1
GRD,USA,10.2
GRL,DNK,63.3
GRL,JPN,12
GRL,CHN,6.4
GRC,ITA,9.5
GRC,TUR,7.9
GRC,DEU,7.9
GRC,CYP,6.1
GRC,BGR,5.5
GRC,USA,5.2
GTM,USA,37.9
GTM,SLV,10.5
GTM,HND,6.8
GTM,MEX,5.1
GIN,CHL,24.6
GIN,ESP,9.2
GIN,RUS,7.5
GIN,IND,5.2
GIN,DEU,5.2
GIN,IRL,5.1
GIN,USA,5
GIN,UKR,4.4
GUY,CAN,29
GUY,USA,28.6
GUY,GBR,4.9
GUY,TTO,4.3
GUY,JAM,4.3
GUY,NLD,4
HTI,USA,83.9
HKG,CHN,52.4
HKG,USA,9.9
HKG,JPN,4
HND,USA,33.1
HND,DEU,10.9
HND,SLV,7.3
HND,BEL,6.5
HND,GTM,6.2
HRV,ITA,15.8
HRV,BIH,12.2
HRV,DEU,10.1
HRV,SVN,8.3
HRV,AUT,5.7
HUN,DEU,25
HUN,ROU,5.7
HUN,AUT,5.4
HUN,SVK,5.4
HUN,ITA,5
HUN,FRA,4.8
HUN,GBR,4.6
ISL,NLD,32.4
ISL,DEU,15
ISL,GBR,9
ISL,NOR,4.4
IDN,JPN,16.6
IDN,CHN,11.3
IDN,SGP,9.1
IDN,USA,8.1
IDN,KOR,8.1
IDN,IND,6.6
IDN,MYS,5.4
IND,UAE,12.7
IND,USA,10.8
IND,CHN,6.2
IND,SGP,5.3
IND,HKG,4.1
IRN,CHN,21.4
IRN,JPN,9.1
IRN,TUR,8.8
IRN,IND,8.1
IRN,KOR,8
IRN,ITA,5.3
ISR,USA,28.8
ISR,HKG,7.9
ISR,BEL,5.6
ISR,GBR,5
ISR,IND,4.5
ISR,CHN,4
ITA,DEU,13.3
ITA,FRA,11.8
ITA,USA,5.9
ITA,ESP,5.4
ITA,CHE,5.4
ITA,GBR,4.7
CIV,NLD,11.3
CIV,USA,11.2
CIV,DEU,7.2
CIV,NGA,5.9
CIV,CAN,5.8
CIV,FRA,5.8
CIV,ZAF,5.3
IRQ,IND,22.5
IRQ,USA,22.3
IRQ,CHN,13.4
IRQ,KOR,11.7
IRQ,JPN,4.8
IRQ,NLD,4.3
JPN,CHN,19.7
JPN,USA,15.5
JPN,KOR,8
JPN,HKG,5.2
JPN,THA,4.6
JAM,USA,36.8
JAM,CAN,18.1
JAM,NLD,7.3
JAM,GBR,5.4
JAM,NOR,4.3
JOR,USA,15.4
JOR,IRQ,15
JOR,IND,12.9
JOR,SAU,9.4
JOR,LBN,4.4
KEN,UGA,9.9
KEN,TZA,9.6
KEN,NLD,8.4
KEN,GBR,8.1
KEN,USA,6.2
KEN,EGY,4.9
KEN,COD,4.2
KGZ,UZB,25.3
KGZ,RUS,22.1
KGZ,KAZ,20.1
KGZ,CHN,7.8
KGZ,UAE,5.5
KGZ,AFG,5
KGZ,TUR,4.2
KNA,CHN,67.2
KNA,KOR,19.4
KNA,IND,3.6
KWT,CHN,9.6
KWT,USA,8.4
KAZ,CHN,21.7
KAZ,FRA,9.4
KAZ,DEU,8.3
KAZ,RUS,5.3
KAZ,ITA,5.2
KAZ,CAN,4.5
KAZ,ROU,4.5
LAO,THA,33
LAO,CHN,23.4
LAO,VNM,13.4
LBN,UAE,13.1
LBN,IRQ,8.4
LBN,SAU,7.7
LBN,TUR,7
LBN,SYR,6.7
LBN,CHE,5.5
LVA,RUS,15.7
LVA,LTU,14.9
LVA,EST,11.2
LVA,DEU,6.9
LVA,SWE,5.2
LVA,POL,4.9
LTU,RUS,15.6
LTU,LVA,9.7
LTU,DEU,8.9
LTU,POL,6.7
LTU,EST,6.3
LTU,NLD,5.8
LTU,BLR,4.8
LBR,USA,21.2
LBR,ESP,10.3
LBR,CIV,6.1
LBR,DEU,5.7
LBR,JPN,5.6
LBR,CHN,5.4
LBR,CAN,4.9
SVK,DEU,21.4
SVK,CZE,15.1
SVK,POL,7.9
SVK,HUN,7.8
SVK,AUT,7.5
SVK,FRA,6.7
SVK,ITA,5.2
LUX,DEU,22.2
LUX,FRA,15.6
LUX,BEL,13.2
LUX,GBR,7.3
LUX,ITA,5.4
LUX,CHE,4.3
LUX,NLD,4.1
LBY,ITA,22.8
LBY,DEU,14.3
LBY,FRA,14.2
LBY,CHN,10.7
LBY,ESP,5.2
LBY,TUN,4.8
MDG,FRA,22.9
MDG,IDN,15.5
MDG,SGP,6.7
MDG,CHN,5.7
MDG,DEU,5.5
MDG,USA,5
MCO,HKG,44.6
MCO,CHN,15.9
MCO,USA,7.9
MDA,RUS,20.5
MDA,ROU,14.9
MDA,ITA,13.9
MDA,TUR,10.8
MDA,DEU,6.1
MDA,UKR,4.8
MNG,CHN,85.7
MNG,CAN,6.3
MWI,CAN,12.4
MWI,ZWE,8.9
MWI,DEU,8.8
MWI,ZAF,6.4
MWI,USA,6.1
MWI,RUS,6
MWI,EGY,5
MWI,GBR,4.2
MWI,CHN,4.1
MNE,SRB,17.5
MNE,HUN,16.9
MNE,HRV,10.1
MKD,DEU,28.1
MKD,ITA,7.2
MKD,BGR,5.4
MKD,GRC,4.9
MLI,CHN,31
MLI,KOR,14.5
MLI,IDN,12.2
MLI,THA,6.3
MLI,MYS,5.4
MLI,BGD,5
MAR,FRA,19.7
MAR,ESP,18.2
MAR,IND,6.2
MAR,BRA,5
MAR,USA,4.6
MUS,GBR,21.3
MUS,FRA,17.8
MUS,USA,10.5
MUS,ITA,8.1
MUS,ZAF,7.7
MUS,ESP,7.1
MUS,MDG,6.2
MRT,CHN,46.6
MRT,ITA,8.8
MRT,FRA,8.1
MRT,CIV,5.1
MRT,ESP,4.6
MRT,JPN,4.5
MRT,BEL,4.3
MRT,NLD,4
MLT,DEU,14
MLT,FRA,10.5
MLT,GRC,7.7
MLT,ITA,7.4
MLT,GBR,6.4
OMN,CHN,30.2
OMN,KOR,10.9
OMN,UAE,10.6
OMN,JPN,10.4
OMN,IND,9.2
OMN,THA,5.3
OMN,USA,4.6
MDV,FRA,19.2
MDV,THA,18.7
MDV,GBR,10.4
MDV,LKA,10.1
MDV,IND,8.5
MDV,ITA,8.2
MDV,DEU,4.7
MEX,USA,78.6
MYS,CHN,13.1
MYS,SGP,12.7
MYS,JPN,11.5
MYS,USA,8.3
MYS,THA,5.1
MYS,HKG,4.5
MYS,IND,4.1
MOZ,ZAF,28.9
MOZ,BEL,15.1
MOZ,ITA,11.8
MOZ,ESP,8.5
MOZ,CHN,6.6
NCL,JPN,19.5
NCL,FRA,18.4
NCL,AUS,12.9
NCL,KOR,10.5
NCL,BEL,5.1
NCL,USA,4.8
NCL,CHN,4.3
NCL,ESP,4.1
NER,USA,49.2
NER,NGA,29.4
NER,RUS,10.3
NER,GHA,4.1
VUT,THA,57.3
VUT,JPN,21.8
NGA,USA,29.1
NGA,IND,11.6
NGA,BRA,7.8
NGA,ESP,7.1
NGA,FRA,5
NGA,NLD,4.3
NLD,DEU,26.2
NLD,BEL,14.1
NLD,FRA,9.3
NLD,GBR,7.7
NLD,ITA,4.8
NOR,GBR,27.2
NOR,NLD,11.5
NOR,DEU,11.1
NOR,FRA,7.1
NOR,SWE,6.5
NOR,USA,5.6
NPL,IND,57.4
NPL,USA,9.6
NPL,DEU,5.4
SUR,USA,23.9
SUR,CAN,19.5
SUR,BEL,17.2
SUR,UAE,8.9
SUR,NOR,6.2
SUR,GUY,4.8
SUR,FRA,4.1
NIC,USA,60.1
NIC,CAN,8.3
NIC,SLV,4.6
NZL,AUS,22.2
NZL,CHN,12.5
NZL,USA,8.5
NZL,JPN,7.1
PRY,URY,15
PRY,BRA,11.4
PRY,ARG,10.2
PRY,CHL,8.3
PRY,RUS,6.6
PRY,NLD,5.4
PRY,DEU,4.3
PER,CHN,18.3
PER,USA,15.2
PER,CAN,11.4
PER,JPN,5.4
PER,ESP,5.3
PER,CHL,4.8
PER,KOR,4.6
PER,DEU,4.1
PAK,USA,15
PAK,UAE,9.7
PAK,AFG,9.5
PAK,CHN,9.2
PAK,GBR,5
PAK,DEU,4.5
POL,DEU,26.8
POL,GBR,6.6
POL,CZE,6.4
POL,FRA,6.3
POL,ITA,5.5
POL,NLD,4.5
POL,RUS,4.2
PAN,USA,13.1
PAN,KOR,12.5
PAN,HND,10.2
PAN,JPN,9.3
PAN,IND,7
PAN,CAN,4.4
PAN,MEX,4.2
PRT,ESP,25.1
PRT,DEU,13.6
PRT,FRA,12.1
PRT,AGO,5.5
PRT,GBR,5.1
PNG,AUS,31.5
PNG,JPN,7
PNG,CHN,6.2
GNB,IND,75.9
GNB,NGA,14
QAT,JPN,25.7
QAT,KOR,17.7
QAT,IND,9.6
QAT,SGP,6.3
QAT,GBR,6.2
ROU,DEU,18.9
ROU,ITA,13
ROU,FRA,7.6
ROU,TUR,6.2
ROU,HUN,5.7
PHL,JPN,18.5
PHL,USA,14.8
PHL,CHN,12.7
PHL,SGP,8.9
PHL,HKG,7.7
PHL,KOR,4.6
SRB,NLD,12.2
SRB,CHN,6.4
SRB,ITA,5.6
SRB,DEU,4.6
SRB,POL,4.2
RWA,KEN,28
RWA,MYS,15.5
RWA,CHN,12.6
RWA,COD,11.2
RWA,USA,5.2
RWA,SWZ,4.5
SAU,JPN,13.9
SAU,CHN,13.6
SAU,USA,13.4
SAU,KOR,10.2
SAU,IND,7.8
SAU,SGP,4.8
KNA,USA,57.7
KNA,CAN,9.8
KNA,RUS,5.2
KNA,DEU,4.2
SYC,FRA,26.5
SYC,GBR,21
SYC,JPN,11
SYC,ITA,10
ZAF,CHN,12.7
ZAF,USA,8.6
ZAF,JPN,7.9
ZAF,DEU,6
ZAF,GBR,4.1
SEN,MLI,21.9
SEN,IND,12.4
SEN,FRA,4.6
SEN,ITA,4.2
SVN,DEU,19.9
SVN,ITA,11.9
SVN,AUT,7.7
SVN,HRV,6.4
SVN,FRA,5.7
SVN,HUN,4
SLE,BEL,28.8
SLE,ROU,12.5
SLE,NLD,9.2
SLE,CHN,7.3
SLE,USA,6.9
SLE,TUR,6
SLE,GBR,5.8
