Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,1087875.796,12264016.63,1300000,130502793.3,184748603.4,-36983240.22,-17932960.89,-73184357.54,-5530726.257,84469273.74,195921787.7,83575418.99,463016759.8,-127988826.8,-267932960.9,261284916.2,154525139.7,133910614.5,-207798005.9,220316139.7,-470976976.9,14752121.88,-31718538.17,158357713.7,467999946.7,-139951959.8,
Andorra,AND,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,230000,450000,150000,270000,,,40000,-240000,,1200000,9000000,180000,100000,,,,,400000,,,,-280000,360000,-20000,20000,-93326.6667,690000,-1460000,-10000,6040000,170000,680000,50000000,57800000,186900000,271000000,238000000,188690000,87276201,213670260,75649209,91227567,94013759,
Angola,AGO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,2400000,1860000,2160000,7540000,6690000,50000,-1170000,,1870000,2000000,37420000,49050000,115810000,104330000,67140000,278000000,234000000,119000000,131000000,200000000,-334800000,664500000,287956000,302100000,170300000,472427000,180559000,411660000,1113970000,2471460000,878620000,2145470000,1672093000,3504701780,1449231820,-1303836930,-37714860,-893342152,1678971010,2205298180,-3227211182,-3023770966,-6897954559,
Albania,ALB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20000000,58000000,53000000,70000000,90100000,47500000,45010000,41200000,143000000,207300000,135000000,178036400.7,341285112.5,262479012.6,325138316.8,652275603.7,1240972849,1343091150,1089416366,1368298748,1265256715,
United Arab Emirates,ARE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,7780000,6940000,10510000,3410000,1630000,15950000,49430000,112240000,39120000,64580000,97640000,-16940000,95060000,45540000,170240000,-220960000,110210000,46720000,188890000,38790000,-115820000,25940000,129720000,401320000,62460000,399850000,300520000,232430000,257660000,-985340000,-506330000,1183840000,95300000,4255956433,10003500000,10899931926,12805990470,14186521443,13723600000,4002700000,5500000000,7679000000,9602000000,
Argentina,ARG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,89770000,125670000,71720000,100250000,17920000,55590000,244680000,144000000,250000000,206000000,678000000,837000000,227000000,185000000,268000000,919000000,574000000,-19000000,1147000000,1028000000,1836000000,2439000000,4430977523,2793085410,3634931878,5609423404,6948536687,9160272052,7290657132,23987696390,10418314339,2166136830,2148910000,1652010000,4124710000,5265250000,5537340000,6473150000,9725560000,4017158925,7845718626,10719930945,12128102278,
Armenia,ARM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000,800000,8000000,25320000,17570000,51940000,220830000,122040000,104190000,69868500,110738700,120872200,247855451.6,239384713,453172318.4,698820000,935434359.8,777498557.9,570060000,663453322.2,489406794.4,
American Samoa,ASM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,2200000,-6900000,8500000,19600000,22400000,23000000,5000000,4400000,15600000,22600000,38596296.3,32951851.85,43107407.41,60607407.41,54792592.59,19648148.15,15240740.74,24788888.89,31485185.19,19351851.85,22944444.44,22774074.07,51792533.33,43115925.93,98452222.22,65865064.81,166321143.7,80366585.19,220963374.1,358820163.7,338204733.3,158783774.4,80646652.59,96679207.78,65160596.3,70860057.41,
Australia,AUS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,898240143.8,1148861272,1053514497,147281665.1,1332156861,455089249.2,1042693511,1139121335,1677595757,1488339329,1869828588,2346769422,2363109706,2985134041,374592490.9,2062591081,5336006348,5263503873,7376945451,7259411410,8110892264,4312358476,5699133705,4318356056,5000720814,12026426012,6181381325,7631273090,5956935413,3311038586,13618008434,8260884019,16991776868,8023802770,36826801136,-24476656434,31246118092,45305020875,45264063368,29002397768,37098104596,66271163219,56595431544,
Austria,AUT,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,112653846,142730445.5,145403026.8,160757773.3,177044820.1,79114404.48,91232469.73,96814163.86,142389695.8,187429359.7,239303891.7,327520086.8,207917636.3,216121460.7,115236829.4,173105865.8,186540951.3,409526123.8,435699357,587351065.6,653220243.9,360071602.9,1442437729,1129076308,2116581765,1900496648,4414662673,2623778926,4643266783,3008319639,8525406379,5905880645,318132393.3,7098252090,3892054627,81287916302,4830703493,68110676603,5121819354,14642970582,-25304172426,23675873461,4143622141,
Azerbaijan,AZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330050000,627277000,1114838000,1022967000,510317000,129937000,226513000,1392435000,3284998000,3556099000,4476396000,4485966000,4594234000,3986807000,2900030000,3352997000,4485120000,5293250000,
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,538566.543,1524028.632,1367714.123,1196623.811,567226.8908,1255434.743,892500.1067,600088.333,473679.8748,3957.848909,1981922.465,100,100,2000000,238660.3083,11683518.19,9634.452803,10.744,4618.425671,44509.03806,584701.6926,31593.77819,500245.0931,3833208.348,348404.5346,780582.0036,3354999.181,604919.6515,
Belgium,BEL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18080576796,34543942055,44415185590,33683830158,58827696333,96587921127,1.85E+11,65834501656,78185288728,1.17E+11,-1917113507,
