Country Name,Country Code,Indicator Name,Indicator Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Aruba,ABW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4416215839,4717024446,5206554198,5456622284,1951895892,264489902.7,5179815559,1388622394,
Andorra,AND,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563187587.5,406220602.8,453400791.4,430713373.8,619880622.8,
Angola,AGO,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24109411611,31862236056,44396193769,63913941114,40827945316,50594853215,67310283732,71091223280,
Albania,ALB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194117835.6,223619399.4,359838412,546110870,403649370.1,736926296.2,962077699.9,1122766558,
United Arab Emirates,ARE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40434150000,46593800000,56032420000,70148570000,55790821963,68154138894,83996798772,80896987950,
Armenia,ARM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003564200,1024116147,1194770000,1110279000,747512052.9,1173900000,1455852352,1537785141,
American Samoa,ASM,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82670221.48,73995931.11,59283601.85,65385681.11,50741039.63,45715381.11,56151357.04,56671695.93,
Australia,AUS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06942E+11,1.24641E+11,1.4251E+11,1.88947E+11,1.54777E+11,2.13782E+11,2.71677E+11,2.57754E+11,
Austria,AUT,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14099E+11,1.29691E+11,1.57132E+11,1.73825E+11,1.31757E+11,1.45518E+11,1.69901E+11,1.59224E+11,
Azerbaijan,AZE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7398064000,12749075000,20899798000,30220553000,20658360000,25741126000,33996343000,31877133000,
Burundi,BDI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60801764.34,58676450.91,58836291.5,69648172.76,68414018.28,101236293.9,123982004.7,134698608.2,
Belgium,BEL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.28049E+11,2.46876E+11,2.87771E+11,3.207E+11,2.47025E+11,2.71147E+11,3.24404E+11,3.02371E+11,
Benin,BEN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578113018.1,735458546.5,1046759380,1282182361,1224565413,1281533308,,,
Burkina Faso,BFA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480859372.2,607161991,654773106.3,857625039.5,900168023.3,1590976293,,,
Bangladesh,BGD,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9054546740,11233798031,12137743126,15298332386,15051721757,19209407428,24537200415,24915851854,
Bulgaria,BGR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11790949973,15154046460,19533494152,22503649095,16379999294,20583790669,28248186219,26677639084,
Bahrain,BHR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10242021277,12200000000,13633510638,17315691489,11873670213,13647074468,19650265957,19768085106,
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549132570,703540000,801874138.3,955822000,710680000,702435000,833537000,984017000,
Bosnia and Herzegovina,BIH,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2555319693,3381442075,1967903911,2559701956,2298742372,2896435919,3653344010,3306237628,
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15194000000,18895800000,23309600000,31627400000,20595400000,24506100000,40927600000,45574300000,
Belize,BLZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308048780.4,408927959.7,416264480,479973484.8,383955784.5,475729501.2,603581171.1,628243644.3,
Bermuda,BMU,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25450000,25315598.7,23523951.86,28668980.41,14684082.32,13488762.76,11139986.93,
Bolivia,BOL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2622226566,3661955401,4262826734,6271446254,4709830000,6129300487,8174835185,11109787176,
Brazil,BRA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18029E+11,1.37808E+11,1.60649E+11,1.97942E+11,1.52995E+11,2.01915E+11,2.5604E+11,2.4258E+11,
Barbados,BRB,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361480290,510075016,525464919,489419743.5,380205856.5,430637314.2,,,
Brunei Darussalam,BRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6240958255,7626932018,7691599164,10697696963,7171881681,,,,
Bhutan,BTN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312020438.1,571025262.5,596955894.5,513673698.8,539887517.9,662209961,591615700.5,
Botswana,BWA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4443887546,4520745964,5163035551,4799776940,3433225202,4632684352,6432179749,6010830612,
Central African Republic,CAF,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.70465E+11,3.98504E+11,4.30472E+11,4.60256E+11,3.2267E+11,3.92338E+11,4.61507E+11,4.62883E+11,
Switzerland,CHE,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56024E+11,1.74242E+11,2.09424E+11,2.54446E+11,2.19355E+11,2.77432E+11,3.45596E+11,3.32131E+11,
Channel Islands,CHI,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41266117619,58678306187,67971011581,66258432057,55462671481,71108528876,81455245895,78276982607,
China,CHN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81308E+11,8.59607E+11,1.10785E+12,1.32758E+12,1.11615E+12,1.47623E+12,1.8059E+12,1.97095E+12,
Cote d'Ivoire,CIV,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7588994813,8362018940,8548026199,10251437608,11167959586,11410214346,,,
Cameroon,CMR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3232762060,3831439844,4877412925,5828500152,4058787893,4311720324,5632837198,5752722614,
"Congo, Rep.",COG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4745310279,6065710446,5808038656,,,,,,
